               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,             0.01717,            0.010861,                   0,             0.99367,              0.9843,             0.99359,             0.83171,            0.017022,            0.011782,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017117,            0.011282,                   0,             0.99366,             0.98433,             0.99314,             0.81971,            0.017226,            0.012079,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,            0.016742,             0.01086,                   0,             0.99057,             0.98737,              0.9942,             0.82376,            0.017277,            0.012337,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.016783,            0.010942,                   0,             0.99047,             0.98433,             0.99311,             0.82636,            0.017055,            0.012771,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.017072,            0.010922,                   0,             0.98736,             0.98119,             0.99296,             0.81615,            0.017213,            0.014475,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.017521,            0.011407,                   0,             0.99682,             0.98433,             0.99337,             0.83041,            0.016815,            0.011561,                   0,           0.0064356,           0.0064356,           0.0064356
                 132,            0.017483,            0.011252,                   0,             0.98742,             0.98429,             0.99331,             0.83177,            0.016594,            0.011246,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.016451,             0.01098,                   0,             0.99054,             0.98432,             0.99362,             0.83057,            0.017104,            0.012113,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.016897,             0.01126,                   0,             0.98738,             0.98115,              0.9936,             0.83758,            0.017039,             0.01253,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,              0.0173,            0.010964,                   0,             0.99367,             0.98432,             0.99332,             0.82704,               0.017,            0.011756,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.017128,            0.010875,                   0,             0.99054,             0.98431,             0.99351,              0.8252,            0.017716,            0.012574,                   0,            0.006204,            0.006204,            0.006204
                 137,            0.016752,            0.010814,                   0,             0.99361,             0.98119,             0.99348,             0.82899,            0.017076,            0.012764,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.016437,            0.010543,                   0,              0.9874,             0.98433,             0.99372,             0.82661,            0.017282,            0.012363,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.016492,            0.010823,                   0,              0.9905,             0.98119,             0.99222,              0.8277,            0.017019,            0.012723,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.016598,             0.01083,                   0,             0.99366,             0.98433,              0.9934,             0.83692,            0.016849,            0.013139,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,             0.01664,            0.010435,                   0,             0.99682,             0.98746,             0.99392,             0.83326,            0.017093,            0.012502,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.016446,            0.010562,                   0,             0.98738,             0.98433,             0.99363,             0.83537,            0.017251,            0.012713,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.017038,            0.011273,                   0,             0.98741,             0.98433,             0.99352,             0.82957,            0.017243,             0.01317,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.016065,            0.010229,                   0,             0.98432,             0.98433,             0.99357,             0.83065,            0.017314,            0.013347,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,             0.01633,            0.010894,                   0,             0.99679,              0.9749,             0.99348,             0.83346,            0.016697,             0.01242,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.016122,            0.010314,                   0,             0.98738,             0.98114,             0.99355,              0.8309,            0.016627,            0.012153,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.015854,            0.010368,                   0,             0.99039,             0.97492,             0.99301,             0.84487,            0.016443,            0.011958,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.016293,            0.010826,                   0,             0.99052,             0.98433,             0.99374,               0.839,            0.016649,            0.011306,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.016153,            0.010584,                   0,             0.99054,             0.98432,             0.99367,             0.84687,            0.016566,            0.012183,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.015857,             0.01054,                   0,             0.99682,             0.98116,             0.99384,             0.84109,            0.016637,            0.012542,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.015909,            0.010355,                   0,             0.99053,             0.98433,             0.99327,             0.83277,            0.016647,            0.012285,                   0,              0.0055,              0.0055,              0.0055
                 152,             0.01547,            0.010415,                   0,             0.99366,             0.98433,             0.99404,             0.84036,            0.016439,            0.011751,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.016051,            0.011018,                   0,             0.99365,              0.9811,             0.99339,             0.84276,            0.016593,            0.012283,                   0,           0.0054058,           0.0054058,           0.0054058
